id,vejnavn,geometry,aadt_cykler
trafiktaelling.107,Tietgensbro,POINT (12.56681959 55.67121066),8000.0
trafiktaelling.108,Toftegårdsbroen,POINT (12.51622938 55.66375539),7200.0
trafiktaelling.109,Tomsgårdsvej,POINT (12.52178265 55.70643303),3500.0
trafiktaelling.110,Valby Langgade,POINT (12.49299949 55.66937201),4500.0
trafiktaelling.111,Valby Langgade,POINT (12.48419873 55.67174703),800.0
trafiktaelling.112,Vejlands Allé,POINT (12.59093008 55.64244706),2800.0
trafiktaelling.113,Vermlandsgade,POINT (12.60337982 55.66841061),6100.0
trafiktaelling.114,Vestergade,POINT (12.5698437 55.67751143),8000.0
trafiktaelling.115,Vester Voldgade,POINT (12.56790106 55.67705949),6000.0
trafiktaelling.116,Vigerslev Allé,POINT (12.53979966 55.66279815),9000.0
trafiktaelling.117,Vigerslev Allé,POINT (12.49819552 55.65984011),5300.0
trafiktaelling.118,Vigerslevvej,POINT (12.50089661 55.64311134),500.0
trafiktaelling.119,Øresundsvej,POINT (12.61277165 55.66025793),3200.0
trafiktaelling.120,Østerbrogade,POINT (12.5774222 55.70866169),10000.0
trafiktaelling.121,Øster Farimagsgade,POINT (12.57945259 55.69514262),7700.0
trafiktaelling.122,Øster Søgade,POINT (12.57885555 55.69560114),3900.0
trafiktaelling.123,Ålekistevej,POINT (12.48620046 55.67743528),2000.0
trafiktaelling.124,Ålekistevej,POINT (12.47907526 55.69726229),3100.0
trafiktaelling.125,Ålholmvej,POINT (12.48867064 55.67303495),2500.0
trafiktaelling.126,Amagerfælledvej,POINT (12.59378431 55.6622484),6800.0
trafiktaelling.127,Blegdamsvej,POINT (12.57541029 55.6984955),5700.0
trafiktaelling.128,Classensgade,POINT (12.58065233 55.69647486),4700.0
trafiktaelling.129,Emdrupvej,POINT (12.54624345 55.72159878),1900.0
trafiktaelling.130,Gothersgade,POINT (12.57460564 55.68431975),19500.0
trafiktaelling.131,Hamletsgade,POINT (12.54567797 55.70175858),4000.0
trafiktaelling.132,Hammerichsgade,POINT (12.56428813 55.67808637),6600.0
trafiktaelling.133,Lyrskovgade,POINT (12.54064162 55.66840998),2700.0
trafiktaelling.134,Løngangsstræde,POINT (12.57235226 55.67530894),1700.0
trafiktaelling.135,Peder Lykkes Vej,POINT (12.59536199 55.65495061),5500.0
trafiktaelling.136,Studiestræde,POINT (12.56759737 55.67792133),2400.0
trafiktaelling.137,Uplandsgade,POINT (12.61721603 55.6689849),1800.0
trafiktaelling.138,Århusgade,POINT (12.58794659 55.70695222),3000.0
trafiktaelling.139,Amager Strandvej,POINT (12.62590481 55.66897282),1000.0
trafiktaelling.140,Islands Brygge,POINT (12.57967576 55.66934),6600.0
trafiktaelling.141,Fiolstræde,POINT (12.5718105 55.68244314),1000.0
trafiktaelling.142,Sjælør Boulevard,POINT (12.52784908 55.65080135),4200.0
trafiktaelling.143,Roskildevej,POINT (12.49260892 55.67250053),3800.0
trafiktaelling.144,Landlystvej,POINT (12.47799453 55.66045737),1600.0
trafiktaelling.145,Blegdamsvej,POINT (12.56558069 55.69324886),7900.0
trafiktaelling.146,Husumvej,POINT (12.48035566 55.69928707),2500.0
trafiktaelling.147,Nørre Allé,POINT (12.56138014 55.69551076),8100.0
trafiktaelling.148,Ved Stadsgraven,POINT (12.59288916 55.6679554),4100.0
trafiktaelling.149,Rådvadsvej,POINT (12.52969155 55.72091539),500.0
trafiktaelling.367,Vigerslevvej / Folehaven,POINT (12.48835411 55.652744),
trafiktaelling.150,Englandsvej,POINT (12.5981686 55.64573286),2200.0
trafiktaelling.151,Jagtvej,POINT (12.56462381 55.70672979),9500.0
trafiktaelling.152,Tagensvej,POINT (12.5537195 55.69951001),10300.0
trafiktaelling.153,Ågade,POINT (12.54109062 55.68805242),4700.0
trafiktaelling.154,Gammel Jernbanevej,POINT (12.51685577 55.6643639),3000.0
trafiktaelling.155,Holbækmotorvejen,POINT (12.48594673 55.65269106),0.0
trafiktaelling.156,Folehaven,POINT (12.50175151 55.65122259),2200.0
trafiktaelling.157,Webersgade,POINT (12.57421226 55.69012679),5800.0
trafiktaelling.158,Sundholmsvej,POINT (12.59545219 55.66240294),5700.0
trafiktaelling.159,Irlandsvej,POINT (12.60813473 55.63934232),1200.0
trafiktaelling.160,Haraldsgade,POINT (12.56046577 55.70982158),3500.0
trafiktaelling.161,Borups Allé,POINT (12.51672139 55.70567803),0.0
trafiktaelling.162,Nordre Fasanvej,POINT (12.53557557 55.69755033),7600.0
trafiktaelling.163,Peter Bangs Vej,POINT (12.49080876 55.67789716),3200.0
trafiktaelling.164,Åkandevej,POINT (12.48561411 55.71242208),1300.0
trafiktaelling.165,Bispeengbuen,POINT (12.53592597 55.69234835),0.0
trafiktaelling.166,Højbro,POINT (12.57993974 55.67759131),3800.0
trafiktaelling.167,Landemærket,POINT (12.57806139 55.68307111),3000.0
trafiktaelling.168,Høje Gladsaxevej,POINT (12.49866412 55.71997238),700.0
trafiktaelling.169,Godthåbsvej,POINT (12.51609255 55.69074886),8200.0
trafiktaelling.170,Amagerbrogade,POINT (12.60047789 55.66440328),21000.0
trafiktaelling.171,Østrigsgade,POINT (12.61301675 55.66603594),3400.0
trafiktaelling.172,Kastrupvej,POINT (12.61432957 55.660151),3000.0
trafiktaelling.173,Artillerivej,POINT (12.5679218 55.65296384),2200.0
trafiktaelling.174,Thorshavnsgade,POINT (12.57850716 55.6670663),4500.0
trafiktaelling.175,Kronprinsessegade,POINT (12.58692831 55.68999935),3000.0
trafiktaelling.176,Nørre Farimagsgade,POINT (12.56589777 55.68275269),8400.0
trafiktaelling.177,Valby Langgade,POINT (12.51664359 55.66663612),3600.0
trafiktaelling.178,Nygårdsvej,POINT (12.57283162 55.71210843),2700.0
trafiktaelling.179,Halmtorvet,POINT (12.55909815 55.66983071),500.0
trafiktaelling.180,Istedgade,POINT (12.55828383 55.67068892),5200.0
trafiktaelling.181,Vesterbrogade,POINT (12.55650581 55.6724813),13900.0
trafiktaelling.182,Amagerfælledvej,POINT (12.59465177 55.66512446),8000.0
trafiktaelling.183,P. Knudsens Gade,POINT (12.52922502 55.65046367),2200.0
trafiktaelling.184,Lersø Parkallé,POINT (12.55756334 55.7041142),3000.0
trafiktaelling.185,Lundtoftegade,POINT (12.53830223 55.69586385),1400.0
trafiktaelling.186,Strandboulevarden,POINT (12.57830532 55.70921381),7400.0
trafiktaelling.187,Tuborgvej,POINT (12.56371274 55.7279495),3500.0
trafiktaelling.188,Enghavevej,POINT (12.54589001 55.67128747),10800.0
trafiktaelling.189,Tagensvej,POINT (12.55961991 55.69698334),13300.0
trafiktaelling.190,Ingerslevsgade,POINT (12.54352207 55.66327226),7200.0
trafiktaelling.191,Jagtvej,POINT (12.55934698 55.7036189),9600.0
trafiktaelling.192,Strandlodsvej,POINT (12.62442078 55.66183897),1100.0
trafiktaelling.193,Øresundsvej,POINT (12.62697287 55.66157833),1800.0
trafiktaelling.194,Grønningen,POINT (12.59071904 55.68931623),5900.0
trafiktaelling.195,St. Kongens Gade,POINT (12.58951881 55.68894828),5200.0
trafiktaelling.196,Frederikssundsvej,POINT (12.48458303 55.70805537),4200.0
trafiktaelling.197,Åkandevej,POINT (12.48553294 55.70976522),900.0
trafiktaelling.198,Nordre Frihavnsgade,POINT (12.57946129 55.70062703),7100.0
trafiktaelling.199,Nørre Voldgade,POINT (12.57118666 55.6831909),10500.0
trafiktaelling.200,Hillerødgade,POINT (12.53802508 55.69691445),8300.0
trafiktaelling.201,Nordre Fasanvej,POINT (12.53527389 55.69613279),10400.0
trafiktaelling.202,Jyllingevej,POINT (12.49315821 55.69368509),2800.0
trafiktaelling.203,Sallingvej,POINT (12.49534206 55.69359734),3800.0
trafiktaelling.204,Retortvej,POINT (12.49776948 55.65929251),2500.0
trafiktaelling.205,Englandsvej,POINT (12.60574322 55.65726043),3700.0
trafiktaelling.206,Ørestads Boulevard,POINT (12.58734245 55.66691383),7000.0
trafiktaelling.207,Artillerivej,POINT (12.58358384 55.66414469),3600.0
trafiktaelling.208,Njalsgade,POINT (12.58203952 55.66510472),4500.0
trafiktaelling.920,Skelbækgade_Kødboderne,POINT (12.55762903 55.66618354),
trafiktaelling.209,Njalsgade,POINT (12.58462957 55.66414012),6900.0
trafiktaelling.210,Sundkrogsgade,POINT (12.59154125 55.7094478),1800.0
trafiktaelling.211,Hovedvagtsgade,POINT (12.58417493 55.6807913),500.0
trafiktaelling.212,Grønnegade,POINT (12.58341793 55.68161058),2000.0
trafiktaelling.213,Store Regnegade,POINT (12.58249005 55.68189682),1600.0
trafiktaelling.214,Terrasserne,POINT (12.48930389 55.71771564),400.0
trafiktaelling.215,Ruten,POINT (12.49150889 55.71695628),400.0
trafiktaelling.216,Ruten,POINT (12.48684463 55.7171305),600.0
trafiktaelling.217,Jernbane Allé,POINT (12.4897445 55.68797693),4700.0
trafiktaelling.218,Jernbane Allé,POINT (12.49091168 55.68668814),4800.0
trafiktaelling.219,Vanløse Allé,POINT (12.49089424 55.68797432),2600.0
trafiktaelling.220,Holmbladsgade,POINT (12.6117959 55.66617579),4000.0
trafiktaelling.221,Vermlandsgade,POINT (12.60563956 55.66818018),3900.0
trafiktaelling.222,Tagensvej,POINT (12.54447554 55.70517056),9900.0
trafiktaelling.223,Hulgårdsvej,POINT (12.52128341 55.70526155),2300.0
trafiktaelling.224,Irlandsvej,POINT (12.6052653 55.64646137),2000.0
